Total games played,Session games played,Wins,Loses
79005,60,17,38
79085,80,28,49
79134,49,14,35
79202,68,22,42
79372,170,63,92
79449,77,25,47
79534,85,28,50
79606,72,23,44
79696,90,33,54
79752,56,17,35
79840,88,30,53
79886,46,11,31
79972,86,29,51
80106,134,50,78
80174,68,21,44
80228,54,16,38
80257,29,4,23
80301,44,11,31
80378,77,24,45
80410,32,7,25
80485,75,23,46
80593,108,38,60
80636,43,11,30
80701,65,19,41
80782,81,28,51
80835,53,14,37
80885,50,13,33
80919,34,7,27
80947,28,4,22
80981,34,7,26
81042,61,19,39
81083,41,9,31
81145,62,19,40
81186,41,8,31
81255,69,23,43
81312,57,15,36
81356,44,11,32
81448,92,31,54
81493,45,10,31
81597,104,38,61
81639,42,9,30
81703,64,19,40
81738,35,7,26
81791,53,15,34
81864,73,23,47
81926,62,20,41
81993,67,22,44
82032,39,8,29
82059,27,3,21
82136,77,25,47
82167,31,5,24
82294,127,49,68
82378,84,28,50
82435,57,17,37
82475,40,7,27
82552,77,26,45
82618,66,22,43
82675,57,15,37
82704,29,3,23
82799,95,34,55
82842,43,11,31
82939,97,30,55
83017,78,26,48
83064,47,11,33
83100,36,7,27
83161,61,18,40
83213,52,15,35
83298,85,30,51
83342,44,11,31
83475,133,50,76
83511,36,6,28
83571,60,17,38
83606,35,7,27
83723,117,45,68
83797,74,23,47
83832,35,8,26
83866,34,6,24
83929,63,20,42
84023,94,33,55
84116,93,32,55
84185,69,21,44
84252,67,21,43
84324,72,22,43
84452,128,46,73
84493,41,10,30
84549,56,17,37
84625,76,25,46
84713,88,30,53
84775,62,19,41
84861,86,29,51
84891,30,4,24
84936,45,11,32
84989,53,15,34
85043,54,16,36
85083,40,9,27
85149,66,20,41
85185,36,7,28
85237,52,15,34
85295,58,17,37
85356,61,19,38
85421,65,19,42
85449,28,3,23
85524,75,24,47
85584,60,17,39
85640,56,17,36
85706,66,21,42
85736,30,5,24
85771,35,7,27
85849,78,28,47
86079,230,94,120
86112,33,7,25
86156,44,11,32
86204,48,13,33
86261,57,17,38
86354,93,33,58
86406,52,14,36
86454,48,11,31
86488,34,7,26
86538,50,15,35
86588,50,13,33
86619,31,4,24
86703,84,28,52
86823,120,45,69
86930,107,39,61
87074,144,56,82
87129,55,18,36
87179,50,14,34
87253,74,24,46
87305,52,14,34
87358,53,14,33
87392,34,6,27
87463,71,22,45
87522,59,16,35
87610,88,30,53
87660,50,13,34
87723,63,18,39
87768,45,10,32
87890,122,47,69
87925,35,6,26
87979,54,15,36
88115,136,52,78
88158,43,10,31
88192,34,7,27
88252,60,16,39
88377,125,45,70
88406,29,5,23
88443,37,7,28
88525,82,27,49
88636,111,42,63
88725,89,31,53
88773,48,14,33
88843,70,20,42
88870,27,3,24
88901,31,5,24
88946,45,11,32
89075,129,47,74
89128,53,15,34
89191,63,18,42
89255,64,19,42
89317,62,18,41
89373,56,15,38
89423,50,14,32
89467,44,10,30
89555,88,31,52
89659,104,37,61
89702,43,10,30
89774,72,25,43
89834,60,18,40
89879,45,9,29
89905,26,1,21
89979,74,23,46
90011,32,5,23
90071,60,18,40
90096,25,2,22
90141,45,13,32
90215,74,24,47
90299,84,27,49
90372,73,22,44
90466,94,33,56
90497,31,5,23
90568,71,22,43
90626,58,15,38
90689,63,18,40
90737,48,12,32
90777,40,9,27
90866,89,32,54
90933,67,21,43
90964,31,6,24
91025,61,17,39
91073,48,13,33
91117,44,10,31
91192,75,24,47
91331,139,51,74
91455,124,45,71
91504,49,13,33
91603,99,33,57
91659,56,18,37
91693,34,7,25
91749,56,17,36
91823,74,26,46
91873,50,13,35
91969,96,34,56
92034,65,21,42
92136,102,37,62
92196,60,15,38
92263,67,21,41
92313,50,14,34
92377,64,22,41
92448,71,21,44
92507,59,18,38
92542,35,6,26
92624,82,26,51
92679,55,16,35
92809,130,48,73
92869,60,16,38
92936,67,22,43
92989,53,14,34
93025,36,7,26
93147,122,43,67
93259,112,41,65
93323,64,19,41
93384,61,19,39
93428,44,11,30
93501,73,24,44
93536,35,8,27
93577,41,9,30
93623,46,10,33
93678,55,14,35
93714,36,7,28
93754,40,8,28
93808,54,13,35
93852,44,10,31
93897,45,12,32
93957,60,18,40
94019,62,17,41
94151,132,52,76
94199,48,12,35
94263,64,18,39
94306,43,11,31
94369,63,18,41
94444,75,24,45
94546,102,37,60
94625,79,24,50
94685,60,16,38
